Group No.,Material Classification,Metallurgy Code,Shop Code,Parent Code,Weight Code,Material,Group#,Sched,% Adder *,Size,Value,,1
7,Grooved,640,610,08,ST,VI,10,ST,0,2.5,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,3,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,4,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,6,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,8,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,10,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,12,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,14,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,16,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,18,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,20,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,24,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,30,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,36,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,42,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,48,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,54,0,,
7,Grooved,640,610,08,ST,VI,10,ST,0,60,0,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,0.5,1.25,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,0.75,1.25,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,1,1.25,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,1.5,1.25,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,2,1.25,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,2.5,1.25,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,3,1.32,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,4,1.35,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,6,1.4,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,8,1.5,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,10,1.75,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,12,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,14,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,16,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,18,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,20,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,24,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,30,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,36,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,42,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,48,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,54,2,,
8,Hastelloy; Titanium,642,612,07,ST,HS,7,ST,1.6,60,2,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,0.5,0.54,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,0.75,0.54,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,1,0.54,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,1.5,0.54,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,2,0.54,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,2.5,0.54,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,3,0.58,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,4,0.61,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,6,0.65,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,8,0.74,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,10,0.85,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,12,0.95,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,14,1,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,16,1.15,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,18,1.23,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,20,1.3,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,24,1.45,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,30,1.812,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,36,2.174,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,42,2.537,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,48,2.537,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,54,2.537,,
9,Stainless Steel 321 & 347; Monel; Inconel; Incoloy; Alloy 20,641,611,06,ST,MI,8,ST,1.2,60,2.537,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,0.5,0.69,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,0.75,0.69,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,1,0.69,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,1.5,0.69,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,2,0.69,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,2.5,0.69,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,3,0.76,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,4,0.825,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,6,0.95,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,8,1.07,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,10,1.17,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,12,1.24,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,14,1.35,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,16,1.44,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,18,1.62,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,20,1.79,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,24,2.01,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,30,2.514,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,36,3.017,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,42,3.52,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,48,3.52,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,54,3.52,,
10,Aluminum,643,613,10,ST,AL,9,ST,1.6,60,3.52,,
